;Kalimat;Kelas;Propocessing;Lowers
245;['beasiswa', 'unsri'];ood;beasiswa, unsri;beasiswa, unsri
246;['tulis', 'puisi'];ood;tulis, puisi;tulis, puisi
247;['rekomendasi', 'channel', 'youtube', 'butuh'];ood;rekomendasi, channel, youtube, butuh;rekomendasi, channel, youtube, butuh
248;['semester', 'pendek', 'semester'];id;semester, pendek, semester;semester, pendek, semester
249;['tampil', 'sks', 'mata', 'kuliah', 'kalkulus'];id;tampil, sks, mata, kuliah, kalkulus;tampil, sks, mata, kuliah, kalkulus
250;['tampil', 'batas', 'isi', 'kprs'];id;tampil, batas, isi, kprs;tampil, batas, isi, kprs
251;['tampil', 'ipk', 'semester'];id;tampil, ipk, semester;tampil, ipk, semester
252;['hasil', 'test', 'usept'];id;hasil, test, usept;hasil, test, usept
253;['kode', 'mata', 'kuliah', 'struktur', 'data'];id;kode, mata, kuliah, struktur, data;kode, mata, kuliah, struktur, data
254;['tulis', 'buku', 'egosentris'];ood;tulis, buku, egosentris;tulis, buku, egosentris
255;['tampil', 'nilai', 'xxxx'];id;tampil, nilai, xxxx;tampil, nilai, xxxx
256;['tampil', 'hasil', 'test', 'suliet'];id;tampil, hasil, test, suliet;tampil, hasil, test, suliet
257;['sks', 'semester'];id;sks, semester;sks, semester
258;['ruang', 'mata', 'kuliah', 'struktur', 'data'];id;ruang, mata, kuliah, struktur, data;ruang, mata, kuliah, struktur, data
259;['tampil', 'ipk', 'semester'];id;tampil, ipk, semester;tampil, ipk, semester
260;['temu', 'perangkat', 'lunak'];ood;temu, perangkat, lunak;temu, perangkat, lunak
261;['batas', 'isi', 'kprs'];id;batas, isi, kprs;batas, isi, kprs
262;['tampil', 'nama', 'mahasiswa'];id;tampil, nama, mahasiswa;tampil, nama, mahasiswa
263;['data', 'dosen', 'bimbing', 'febyk', 'alek', 'satria'];id;data, dosen, bimbing, febyk, alek, satria;data, dosen, bimbing, febyk, alek, satria
264;['nama', 'dekan', 'fakultas', 'ilmu', 'sosial', 'politik', 'universitas', 'sriwijaya'];ood;nama, dekan, fakultas, ilmu, sosial, politik, universitas, sriwijaya;nama, dekan, fakultas, ilmu, sosial, politik, universitas, sriwijaya
265;['core', 'procesor', 'pengaruh', 'kerja', 'laptop'];ood;core, procesor, pengaruh, kerja, laptop;core, procesor, pengaruh, kerja, laptop
266;['nama', 'dosen', 'bimbing', 'akademik'];id;nama, dosen, bimbing, akademik;nama, dosen, bimbing, akademik
267;['ukt', 'tinggi', 'unsri'];ood;ukt, tinggi, unsri;ukt, tinggi, unsri
268;['laut', 'mati'];ood;laut, mati;laut, mati
269;['peran', 'orang', 'tua', 'dukung', 'didik', 'anak'];ood;peran, orang, tua, dukung, didik, anak;peran, orang, tua, dukung, didik, anak
270;['buku', 'judul', 'karya'];ood;buku, judul, karya;buku, judul, karya
271;['lihat', 'kelas', 'mahasiswa'];id;lihat, kelas, mahasiswa;lihat, kelas, mahasiswa
272;['dokter', 'gigi'];ood;dokter, gigi;dokter, gigi
273;['maksimum', 'ambil', 'semester', 'pendek'];id;maksimum, ambil, semester, pendek;maksimum, ambil, semester, pendek
274;['tampil', 'sks', 'semester'];id;tampil, sks, semester;tampil, sks, semester
275;['berika', 'daftar', 'nama', 'mahasiswa', 'jenis', 'kelamin', 'perempuan', 'angkat'];id;berika, daftar, nama, mahasiswa, jenis, kelamin, perempuan, angkat;berika, daftar, nama, mahasiswa, jenis, kelamin, perempuan, angkat
276;['tampil', 'nilai', 'uas', 'urut', 'dasar'];id;tampil, nilai, uas, urut, dasar;tampil, nilai, uas, urut, dasar
277;['tulis', 'buku', 'rehat'];ood;tulis, buku, rehat;tulis, buku, rehat
278;['mata', 'kuliah', 'nilai', 'c'];id;mata, kuliah, nilai, c;mata, kuliah, nilai, c
279;['mata', 'kuliah', 'ulang'];id;mata, kuliah, ulang;mata, kuliah, ulang
280;['ipk', 'semester'];id;ipk, semester;ipk, semester
281;['data', 'mahasiswa', 'ipk'];id;data, mahasiswa, ipk;data, mahasiswa, ipk
282;['sks', 'ambil', 'semster', 'pendek'];id;sks, ambil, semster, pendek;sks, ambil, semster, pendek
283;['tampil', 'mutu'];id;tampil, mutu;tampil, mutu
284;['tampil', 'kode', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;tampil, kode, mata, kuliah, algoritma, pemrograman;tampil, kode, mata, kuliah, algoritma, pemrograman
285;['laptop', 'mudah', 'panas'];ood;laptop, mudah, panas;laptop, mudah, panas
286;['tampil', 'krs', 'semester', 'pendek'];id;tampil, krs, semester, pendek;tampil, krs, semester, pendek
287;['tulis', 'buku'];ood;tulis, buku;tulis, buku
288;['tulis', 'buku', 'geez', 'and', 'ann'];ood;tulis, buku, geez, and, ann;tulis, buku, geez, and, ann
289;['tampil', 'ip', 'semester'];id;tampil, ip, semester;tampil, ip, semester
290;['tampil', 'daftar', 'nama', 'mahasiswa', 'jenis', 'kelamin', 'perempuan', 'jurus', 'teknik', 'informatika', 'angkat'];id;tampil, daftar, nama, mahasiswa, jenis, kelamin, perempuan, jurus, teknik, informatika, angkat;tampil, daftar, nama, mahasiswa, jenis, kelamin, perempuan, jurus, teknik, informatika, angkat
291;['beasiswa', 'full', 'kuliah'];ood;beasiswa, full, kuliah;beasiswa, full, kuliah
292;['jual', 'martabak', 'indralaya'];ood;jual, martabak, indralaya;jual, martabak, indralaya
293;['tampil', 'kode', 'mata', 'kuliah', 'kalkulus'];id;tampil, kode, mata, kuliah, kalkulus;tampil, kode, mata, kuliah, kalkulus
294;['khs', 'semester', 'pendek'];id;khs, semester, pendek;khs, semester, pendek
295;['jadwal', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;jadwal, mata, kuliah, algoritma, pemrograman;jadwal, mata, kuliah, algoritma, pemrograman
296;['lihat', 'mahasiswa', 'nimnya'];id;lihat, mahasiswa, nimnya;lihat, mahasiswa, nimnya
297;['kartu', 'hasil', 'studi', 'semester'];id;kartu, hasil, studi, semester;kartu, hasil, studi, semester
298;['ruang', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;ruang, mata, kuliah, algoritma, pemrograman;ruang, mata, kuliah, algoritma, pemrograman
299;['tampil', 'mahasiswa', 'jenis', 'kelamin', 'perempuan', 'tinggal', 'bandung'];id;tampil, mahasiswa, jenis, kelamin, perempuan, tinggal, bandung;tampil, mahasiswa, jenis, kelamin, perempuan, tinggal, bandung
300;['tampil', 'nama', 'mahasiswa', 'jenis', 'kelamin', 'perempuan'];id;tampil, nama, mahasiswa, jenis, kelamin, perempuan;tampil, nama, mahasiswa, jenis, kelamin, perempuan
301;['tanggal', 'tenggat', 'isi', 'kprs'];id;tanggal, tenggat, isi, kprs;tanggal, tenggat, isi, kprs
302;['tulis', 'buku', 'amor', 'fati'];ood;tulis, buku, amor, fati;tulis, buku, amor, fati
303;['sks', 'mata', 'kuliah', 'struktur', 'data'];id;sks, mata, kuliah, struktur, data;sks, mata, kuliah, struktur, data
304;['kartu', 'hasil', 'studi', 'semester'];id;kartu, hasil, studi, semester;kartu, hasil, studi, semester
305;['dosen', 'teknik', 'informatika', 'jenis', 'kelamin', 'lakilaki'];id;dosen, teknik, informatika, jenis, kelamin, lakilaki;dosen, teknik, informatika, jenis, kelamin, lakilaki
306;['tampil', 'sks', 'mata', 'kuliah', 'struktur', 'data'];id;tampil, sks, mata, kuliah, struktur, data;tampil, sks, mata, kuliah, struktur, data
307;['tampil', 'ipk', 'semester'];id;tampil, ipk, semester;tampil, ipk, semester
308;['tampil', 'nama', 'dosen', 'bimbing', 'akademik'];id;tampil, nama, dosen, bimbing, akademik;tampil, nama, dosen, bimbing, akademik
309;['sebut', 'mata', 'kuliah', 'pilih', 'semester'];id;sebut, mata, kuliah, pilih, semester;sebut, mata, kuliah, pilih, semester
310;['baik', 'tabel', 'beranta'];ood;baik, tabel, beranta;baik, tabel, beranta
311;['tampil', 'ip', 'semester'];id;tampil, ip, semester;tampil, ip, semester
312;['nama', 'dosen', 'ampu', 'mata', 'kuliah', 'struktur', 'data'];id;nama, dosen, ampu, mata, kuliah, struktur, data;nama, dosen, ampu, mata, kuliah, struktur, data
313;['arti', 'i', 'love', 'you', 'bahasa', 'indonesia'];ood;arti, i, love, you, bahasa, indonesia;arti, i, love, you, bahasa, indonesia
314;['bimbing', 'ta', 'mahasiswa', 'nim', 'xxxxxxxx'];id;bimbing, ta, mahasiswa, nim, xxxxxxxx;bimbing, ta, mahasiswa, nim, xxxxxxxx
315;['mutu'];id;mutu;mutu
316;['hasil', 'test', 'suliet'];id;hasil, test, suliet;hasil, test, suliet
317;['huruf', 'b', 'a', 'c'];ood;huruf, b, a, c;huruf, b, a, c
318;['dosen', 'ampu', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;dosen, ampu, mata, kuliah, algoritma, pemrograman;dosen, ampu, mata, kuliah, algoritma, pemrograman
319;['tampil', 'sks', 'semester'];id;tampil, sks, semester;tampil, sks, semester
320;['nama', 'dekan', 'fakultas', 'ekonomi', 'universitas', 'sriwijaya'];ood;nama, dekan, fakultas, ekonomi, universitas, sriwijaya;nama, dekan, fakultas, ekonomi, universitas, sriwijaya
321;['tampil', 'sks', 'semester'];id;tampil, sks, semester;tampil, sks, semester
322;['universitas', 'terap', 'sistem', 'sks'];ood;universitas, terap, sistem, sks;universitas, terap, sistem, sks
323;['mata', 'kuliah', 'nilai', 'b'];id;mata, kuliah, nilai, b;mata, kuliah, nilai, b
324;['drama', 'korea', 'bagus', 'tonton'];ood;drama, korea, bagus, tonton;drama, korea, bagus, tonton
325;['tampil', 'ipk'];id;tampil, ipk;tampil, ipk
326;['mahasiswa', 'aktif', 'teknik', 'informatika'];id;mahasiswa, aktif, teknik, informatika;mahasiswa, aktif, teknik, informatika
327;['jurus', 's', 'sesuai', 'passion', 'skill', 'desain'];ood;jurus, s, sesuai, passion, skill, desain;jurus, s, sesuai, passion, skill, desain
328;['tampil', 'ruang', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;tampil, ruang, mata, kuliah, algoritma, pemrograman;tampil, ruang, mata, kuliah, algoritma, pemrograman
329;['direktur', 'utama', 'ukm', 'uread', 'periode', 'maaf', 'sekretaris', 'periode'];ood;direktur, utama, ukm, uread, periode, maaf, sekretaris, periode;direktur, utama, ukm, uread, periode, maaf, sekretaris, periode
330;['indonesia', 'negara', 'kembang'];ood;indonesia, negara, kembang;indonesia, negara, kembang
331;['nama', 'wakil', 'direktur', 'utama'];ood;nama, wakil, direktur, utama;nama, wakil, direktur, utama
332;['buku', 'judul', 'rembulan', 'tenggelam', 'wajah', 'mu', 'karya'];ood;buku, judul, rembulan, tenggelam, wajah, mu, karya;buku, judul, rembulan, tenggelam, wajah, mu, karya
333;['buku', 'judul', 'tulis'];ood;buku, judul, tulis;buku, judul, tulis
334;['tulis', 'buku', 'judul', 'rindu'];ood;tulis, buku, judul, rindu;tulis, buku, judul, rindu
335;['judul', 'buku', 'tulis', 'syahidmuhammad'];ood;judul, buku, tulis, syahidmuhammad;judul, buku, tulis, syahidmuhammad
336;['nip', 'dosen', 'pa'];id;nip, dosen, pa;nip, dosen, pa
337;['sks', 'mata', 'kuliah', 'struktur', 'data'];id;sks, mata, kuliah, struktur, data;sks, mata, kuliah, struktur, data
338;['tampil', 'kode', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;tampil, kode, mata, kuliah, algoritma, pemrograman;tampil, kode, mata, kuliah, algoritma, pemrograman
339;['dosen', 'teknik', 'informatika', 'jenis', 'kelamin', 'perempuan'];id;dosen, teknik, informatika, jenis, kelamin, perempuan;dosen, teknik, informatika, jenis, kelamin, perempuan
340;['ipk'];ood;ipk;ipk
341;['tampil', 'ip', 'semester'];id;tampil, ip, semester;tampil, ip, semester
342;['ipk', 'semester'];id;ipk, semester;ipk, semester
343;['pinjam', 'buku', 'pus', 'unsri'];ood;pinjam, buku, pus, unsri;pinjam, buku, pus, unsri
344;['harga', 'buku', 'pemrograman', 'web'];ood;harga, buku, pemrograman, web;harga, buku, pemrograman, web
345;['nama', 'dosen', 'ampu', 'mata', 'kuliah', 'struktur', 'data'];id;nama, dosen, ampu, mata, kuliah, struktur, data;nama, dosen, ampu, mata, kuliah, struktur, data
346;['mutu'];id;mutu;mutu
347;['tampil', 'jadwal', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;tampil, jadwal, mata, kuliah, algoritma, pemrograman;tampil, jadwal, mata, kuliah, algoritma, pemrograman
348;['nama', 'dekan', 'fakultas', 'guru', 'ilmu', 'didik', 'universitas', 'sriwijaya'];ood;nama, dekan, fakultas, guru, ilmu, didik, universitas, sriwijaya;nama, dekan, fakultas, guru, ilmu, didik, universitas, sriwijaya
349;['kode', 'mata', 'kuliah', 'kalkulus'];id;kode, mata, kuliah, kalkulus;kode, mata, kuliah, kalkulus
350;['sebut', 'nama', 'mahasiswa', 'nilai', 'uas'];id;sebut, nama, mahasiswa, nilai, uas;sebut, nama, mahasiswa, nilai, uas
351;['nama', 'dekan', 'fakultas', 'matematika', 'ilmu', 'tahu', 'alam', 'universitas', 'sriwijaya'];ood;nama, dekan, fakultas, matematika, ilmu, tahu, alam, universitas, sriwijaya;nama, dekan, fakultas, matematika, ilmu, tahu, alam, universitas, sriwijaya
352;['mahasiswa', 'nim', 'xxx', 'milik', 'sempat', 'lulus', 'puji'];ood;mahasiswa, nim, xxx, milik, sempat, lulus, puji;mahasiswa, nim, xxx, milik, sempat, lulus, puji
353;['tampil', 'kode', 'mata', 'kuliah', 'struktur', 'data'];id;tampil, kode, mata, kuliah, struktur, data;tampil, kode, mata, kuliah, struktur, data
354;['temu', 'bola', 'lampu'];ood;temu, bola, lampu;temu, bola, lampu
355;['jadwal', 'mata', 'kuliah', 'struktur', 'data'];id;jadwal, mata, kuliah, struktur, data;jadwal, mata, kuliah, struktur, data
356;['tampil', 'ruang', 'mata', 'kuliah', 'struktur', 'data'];id;tampil, ruang, mata, kuliah, struktur, data;tampil, ruang, mata, kuliah, struktur, data
357;['tampil', 'tanggal', 'tenggat', 'isi', 'krs'];id;tampil, tanggal, tenggat, isi, krs;tampil, tanggal, tenggat, isi, krs
358;['temu', 'kode', 'mata', 'kuliah', 'probabilitas', 'statistika'];id;temu, kode, mata, kuliah, probabilitas, statistika;temu, kode, mata, kuliah, probabilitas, statistika
359;['tanggal', 'test', 'suliet'];id;tanggal, test, suliet;tanggal, test, suliet
360;['tampil', 'kartu', 'hasil', 'studi', 'semester', 'pendek'];id;tampil, kartu, hasil, studi, semester, pendek;tampil, kartu, hasil, studi, semester, pendek
361;['temu', 'lokasi', 'dagang', 'martabak', 'dekat'];ood;temu, lokasi, dagang, martabak, dekat;temu, lokasi, dagang, martabak, dekat
362;['tampil', 'sks', 'ambil', 'semester'];id;tampil, sks, ambil, semester;tampil, sks, ambil, semester
363;['makan'];ood;makan;makan
364;['cari', 'data', 'mahasiswa', 'milik', 'nilai', 'suliet'];id;cari, data, mahasiswa, milik, nilai, suliet;cari, data, mahasiswa, milik, nilai, suliet
365;['ip', 'semester'];id;ip, semester;ip, semester
366;['tampil', 'semester', 'pendek', 'semester'];id;tampil, semester, pendek, semester;tampil, semester, pendek, semester
367;['mana', 'negara', 'duduk'];ood;mana, negara, duduk;mana, negara, duduk
368;['tampil', 'daftar', 'mata', 'kuliah', 'ambil', 'mahasiswa', 'nim'];id;tampil, daftar, mata, kuliah, ambil, mahasiswa, nim;tampil, daftar, mata, kuliah, ambil, mahasiswa, nim
369;['daftar', 'mata', 'kuliah', 'ulang'];id;daftar, mata, kuliah, ulang;daftar, mata, kuliah, ulang
370;['tampil', 'sks', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;tampil, sks, mata, kuliah, algoritma, pemrograman;tampil, sks, mata, kuliah, algoritma, pemrograman
371;['tampil', 'jadwal', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;tampil, jadwal, mata, kuliah, algoritma, pemrograman;tampil, jadwal, mata, kuliah, algoritma, pemrograman
372;['temu', 'data', 'mahasiswa', 'nama', 'adi'];id;temu, data, mahasiswa, nama, adi;temu, data, mahasiswa, nama, adi
373;['istri', 'adam', 'smith'];ood;istri, adam, smith;istri, adam, smith
374;['lulus', 'lamar', 'kerja', 'usaha'];ood;lulus, lamar, kerja, usaha;lulus, lamar, kerja, usaha
375;['nilai', 'semester'];ood;nilai, semester;nilai, semester
376;['mata', 'kuliah', 'pilih', 'ambil', 'semester'];id;mata, kuliah, pilih, ambil, semester;mata, kuliah, pilih, ambil, semester
377;['atur', 'ikat', 'puisi'];ood;atur, ikat, puisi;atur, ikat, puisi
378;['tampil', 'kartu', 'rencana', 'studi', 'semester'];id;tampil, kartu, rencana, studi, semester;tampil, kartu, rencana, studi, semester
379;['konser', 'bts', 'laksana'];ood;konser, bts, laksana;konser, bts, laksana
380;['temu', 'mahasiswa', 'jenis', 'kelamin', 'wanita'];id;temu, mahasiswa, jenis, kelamin, wanita;temu, mahasiswa, jenis, kelamin, wanita
381;['index', 'prestasi', 'kumulatif'];id;index, prestasi, kumulatif;index, prestasi, kumulatif
382;['nama', 'dosen', 'pa'];id;nama, dosen, pa;nama, dosen, pa
383;['tampil', 'angkat'];id;tampil, angkat;tampil, angkat
384;['daftar', 'dosen', 'teknik', 'informatika'];id;daftar, dosen, teknik, informatika;daftar, dosen, teknik, informatika
385;['tolong', 'cari', 'kode', 'mata', 'kuliah', 'kalkulus'];id;tolong, cari, kode, mata, kuliah, kalkulus;tolong, cari, kode, mata, kuliah, kalkulus
386;['temu', 'lokasi', 'fasilkom'];ood;temu, lokasi, fasilkom;temu, lokasi, fasilkom
387;['tampil', 'nama', 'dosen', 'ampu', 'mata', 'kuliah', 'struktur', 'data'];id;tampil, nama, dosen, ampu, mata, kuliah, struktur, data;tampil, nama, dosen, ampu, mata, kuliah, struktur, data
388;['jadwal', 'mata', 'kuliah', 'kalkulus'];id;jadwal, mata, kuliah, kalkulus;jadwal, mata, kuliah, kalkulus
389;['ipk', 'semester'];id;ipk, semester;ipk, semester
390;['tanggal', 'isi', 'kprs'];id;tanggal, isi, kprs;tanggal, isi, kprs
391;['tampil', 'sks', 'ambil', 'semster', 'pendek'];id;tampil, sks, ambil, semster, pendek;tampil, sks, ambil, semster, pendek
392;['ekstraksi', 'dbpedia'];ood;ekstraksi, dbpedia;ekstraksi, dbpedia
393;['kucing', 'sebal', 'student', 'center'];ood;kucing, sebal, student, center;kucing, sebal, student, center
394;['mana', 'letak', 'kampus', 'unsri'];ood;mana, letak, kampus, unsri;mana, letak, kampus, unsri
395;['tampil', 'sks', 'semester'];id;tampil, sks, semester;tampil, sks, semester
396;['malas', 'ajar'];ood;malas, ajar;malas, ajar
397;['ip', 'semester'];id;ip, semester;ip, semester
398;['nama', 'dekan', 'fakultas', 'tani', 'universitas', 'sriwijaya'];ood;nama, dekan, fakultas, tani, universitas, sriwijaya;nama, dekan, fakultas, tani, universitas, sriwijaya
399;['tampil', 'mata', 'kuliah', 'nilai', 'e'];id;tampil, mata, kuliah, nilai, e;tampil, mata, kuliah, nilai, e
400;['history', 'mata', 'kuliah', 'kalkulus'];id;history, mata, kuliah, kalkulus;history, mata, kuliah, kalkulus
401;['bagus', 'cari', 'kerja', 'usaha'];ood;bagus, cari, kerja, usaha;bagus, cari, kerja, usaha
402;['daun', 'warna', 'hijau'];ood;daun, warna, hijau;daun, warna, hijau
403;['tampil', 'sks', 'mata', 'kuliah', 'struktur', 'data'];id;tampil, sks, mata, kuliah, struktur, data;tampil, sks, mata, kuliah, struktur, data
404;['alasanlandasan', 'chatbot'];ood;alasanlandasan, chatbot;alasanlandasan, chatbot
405;['tulis', 'puisi'];ood;tulis, puisi;tulis, puisi
406;['kartu', 'hasil', 'studi', 'semester'];id;kartu, hasil, studi, semester;kartu, hasil, studi, semester
407;['tampil', 'nip', 'dosen', 'bimbing', 'akademik'];id;tampil, nip, dosen, bimbing, akademik;tampil, nip, dosen, bimbing, akademik
408;['monumen', 'nasional'];ood;monumen, nasional;monumen, nasional
409;['sks', 'mata', 'kuliah', 'kalkulus'];id;sks, mata, kuliah, kalkulus;sks, mata, kuliah, kalkulus
410;['tampil', 'nip', 'dosen', 'pa'];id;tampil, nip, dosen, pa;tampil, nip, dosen, pa
411;['fasilkom', 'diri'];ood;fasilkom, diri;fasilkom, diri
412;['ip', 'semster', 'ip', 'semester', 'mahasiswa', 'nama', 'adi', 'kurniawan'];id;ip, semster, ip, semester, mahasiswa, nama, adi, kurniawan;ip, semster, ip, semester, mahasiswa, nama, adi, kurniawan
413;['fakultas', 'unsri'];ood;fakultas, unsri;fakultas, unsri
414;['tampil', 'nomor', 'induk', 'pegawai', 'dosen', 'bimbing', 'akademik'];id;tampil, nomor, induk, pegawai, dosen, bimbing, akademik;tampil, nomor, induk, pegawai, dosen, bimbing, akademik
415;['nomor', 'induk', 'pegawai', 'dosen', 'bimbing', 'akademik'];id;nomor, induk, pegawai, dosen, bimbing, akademik;nomor, induk, pegawai, dosen, bimbing, akademik
416;['tampil', 'maksimum', 'ambil', 'semester', 'pendek'];id;tampil, maksimum, ambil, semester, pendek;tampil, maksimum, ambil, semester, pendek
417;['sks', 'semester'];id;sks, semester;sks, semester
418;['tolong', 'temu', 'lokasi', 'unsri'];ood;tolong, temu, lokasi, unsri;tolong, temu, lokasi, unsri
419;['ipk', 'tinggi', 'lulus', 'unsri'];ood;ipk, tinggi, lulus, unsri;ipk, tinggi, lulus, unsri
420;['jam', 'kah', 'admin', 'ruang', 'jurus'];ood;jam, kah, admin, ruang, jurus;jam, kah, admin, ruang, jurus
421;['data'];ood;data;data
422;['jadwal', 'mata', 'kuliah', 'struktur', 'data'];id;jadwal, mata, kuliah, struktur, data;jadwal, mata, kuliah, struktur, data
423;['skill', 'pemrograman'];ood;skill, pemrograman;skill, pemrograman
424;['dosen', 'ajar', 'mata', 'kuliah', 'matematika', 'dasar'];id;dosen, ajar, mata, kuliah, matematika, dasar;dosen, ajar, mata, kuliah, matematika, dasar
425;['mendownload', 'jurnal', 'gratis'];ood;mendownload, jurnal, gratis;mendownload, jurnal, gratis
426;['tampil', 'mutu'];id;tampil, mutu;tampil, mutu
427;['kartu', 'hasil', 'studi', 'semester', 'pendek'];id;kartu, hasil, studi, semester, pendek;kartu, hasil, studi, semester, pendek
428;['tampil', 'batas', 'maksimum', 'ambil', 'semester', 'pendek'];id;tampil, batas, maksimum, ambil, semester, pendek;tampil, batas, maksimum, ambil, semester, pendek
429;['tampil', 'history', 'mata', 'kuliah', 'algoritma', 'pemrogramman'];id;tampil, history, mata, kuliah, algoritma, pemrogramman;tampil, history, mata, kuliah, algoritma, pemrogramman
430;['ruang', 'mata', 'kuliah', 'struktur', 'data'];id;ruang, mata, kuliah, struktur, data;ruang, mata, kuliah, struktur, data
431;['lampu', 'lintas', 'henti', 'warna', 'merah'];ood;lampu, lintas, henti, warna, merah;lampu, lintas, henti, warna, merah
432;['tampil', 'kartu', 'hasil', 'studi', 'semester'];id;tampil, kartu, hasil, studi, semester;tampil, kartu, hasil, studi, semester
433;['tulis', 'buku', 'judul', 'paradigma'];ood;tulis, buku, judul, paradigma;tulis, buku, judul, paradigma
434;['nip', 'qurhanul', 'rizqie'];id;nip, qurhanul, rizqie;nip, qurhanul, rizqie
435;['mahasiswa', 'teknik', 'infromatika'];id;mahasiswa, teknik, infromatika;mahasiswa, teknik, infromatika
436;['kepala', 'program', 'studi', 'ilmu', 'awat', 'unsri'];ood;kepala, program, studi, ilmu, awat, unsri;kepala, program, studi, ilmu, awat, unsri
437;['tampil', 'krs', 'semester'];id;tampil, krs, semester;tampil, krs, semester
438;['ip', 'semester'];id;ip, semester;ip, semester
439;['tampil', 'prodi'];id;tampil, prodi;tampil, prodi
440;['tabung', 'konsisten'];ood;tabung, konsisten;tabung, konsisten
441;['mengupload', 'jurnal'];ood;mengupload, jurnal;mengupload, jurnal
442;['jodoh', 'hihihi'];ood;jodoh, hihihi;jodoh, hihihi
443;['prodi'];id;prodi;prodi
444;['tampil', 'kode', 'mata', 'kuliah', 'struktur', 'data'];id;tampil, kode, mata, kuliah, struktur, data;tampil, kode, mata, kuliah, struktur, data
445;['sah', 'gelar', 'administrasi', 'negara', 'administrasi', 'publik', 'unsri'];ood;sah, gelar, administrasi, negara, administrasi, publik, unsri;sah, gelar, administrasi, negara, administrasi, publik, unsri
446;['tampil', 'daftar', 'nama', 'dosen'];id;tampil, daftar, nama, dosen;tampil, daftar, nama, dosen
447;['robot'];ood;robot;robot
448;['tampil', 'kartu', 'hasil', 'studi', 'semester'];id;tampil, kartu, hasil, studi, semester;tampil, kartu, hasil, studi, semester
449;['tampil', 'data', 'mahasiswa', 'nama', 'dahlia'];id;tampil, data, mahasiswa, nama, dahlia;tampil, data, mahasiswa, nama, dahlia
450;['rektor', 'unsri'];ood;rektor, unsri;rektor, unsri
451;['program', 'studi'];id;program, studi;program, studi
452;['suka', 'pakai', 'hijab'];ood;suka, pakai, hijab;suka, pakai, hijab
453;['nama', 'dekan', 'fakultas', 'sehat', 'masyarakat', 'universitas', 'sriwijaya'];ood;nama, dekan, fakultas, sehat, masyarakat, universitas, sriwijaya;nama, dekan, fakultas, sehat, masyarakat, universitas, sriwijaya
454;['tampil', 'jadwal', 'mata', 'kuliah', 'matriks', 'vektor'];id;tampil, jadwal, mata, kuliah, matriks, vektor;tampil, jadwal, mata, kuliah, matriks, vektor
455;['nip', 'abdiansah'];id;nip, abdiansah;nip, abdiansah
456;['tampil', 'daftar', 'mata', 'kuliah', 'ulang'];id;tampil, daftar, mata, kuliah, ulang;tampil, daftar, mata, kuliah, ulang
457;['milik', 'nim'];id;milik, nim;milik, nim
458;['tampil', 'mata', 'kuliah', 'ambil', 'semester'];id;tampil, mata, kuliah, ambil, semester;tampil, mata, kuliah, ambil, semester
459;['tampil', 'rekap', 'nilai'];id;tampil, rekap, nilai;tampil, rekap, nilai
460;['tampil', 'ruang', 'mata', 'kuliah', 'struktur', 'data'];id;tampil, ruang, mata, kuliah, struktur, data;tampil, ruang, mata, kuliah, struktur, data
461;['wanita', 'jatuh', 'hati', 'pria'];ood;wanita, jatuh, hati, pria;wanita, jatuh, hati, pria
462;['mana', 'suna', 'alkayuni', 'aresta', 'lahir'];ood;mana, suna, alkayuni, aresta, lahir;mana, suna, alkayuni, aresta, lahir
463;['tampil', 'mahasiswa', 'teknik', 'informatika', 'angkat', 'lulus'];id;tampil, mahasiswa, teknik, informatika, angkat, lulus;tampil, mahasiswa, teknik, informatika, angkat, lulus
464;['mahasiswa', 'uasnya', 'nila'];id;mahasiswa, uasnya, nila;mahasiswa, uasnya, nila
465;['tampil', 'khs', 'semester'];id;tampil, khs, semester;tampil, khs, semester
466;['islam', 'kali', 'indonesia'];ood;islam, kali, indonesia;islam, kali, indonesia
467;['astronomi', 'observasional'];ood;astronomi, observasional;astronomi, observasional
468;['tampil', 'semester'];id;tampil, semester;tampil, semester
469;['cari', 'nama', 'dosen', 'ajar', 'mata', 'kuliah', 'algoritma', 'pemrograman', 'iii'];id;cari, nama, dosen, ajar, mata, kuliah, algoritma, pemrograman, iii;cari, nama, dosen, ajar, mata, kuliah, algoritma, pemrograman, iii
470;['khs', 'semester'];id;khs, semester;khs, semester
471;['mata', 'kuliah', 'nilai', 'd'];id;mata, kuliah, nilai, d;mata, kuliah, nilai, d
472;['luas', 'kampus', 'unsri'];ood;luas, kampus, unsri;luas, kampus, unsri
473;['mahasiswa', 'teknik', 'informatika', 'reguler'];id;mahasiswa, teknik, informatika, reguler;mahasiswa, teknik, informatika, reguler
474;['langit', 'warna', 'biru'];ood;langit, warna, biru;langit, warna, biru
